subid,trial_num_full,trial_num,trial_type,ss_looking_char,look,correct,count_looks,total_looks,prop_looking,m_correct,m_gaze_follow,num_shifts,rt,shift_start,shift_end,shift_correct,shift_type,condition
020816_01,1_exposure,1,exposure,face,right,FALSE,30,94,0.32,0.41,0.41,5,0.6,left,right,TRUE,image_away,gaze
020816_01,1_exposure,1,exposure,left,right,FALSE,38,94,0.4,0.41,0.41,5,0.6,left,right,TRUE,image_away,gaze
020816_01,1_exposure,1,exposure,right,right,TRUE,26,94,0.28,0.41,0.41,5,0.6,left,right,TRUE,image_away,gaze
020816_01,1_test,1,test,face,NA,NA,0,96,0,0.96,0,1,0.333,right,left,TRUE,distracter_target,gaze
020816_01,1_test,1,test,left,straightahead,TRUE,92,96,0.96,0.96,0,1,0.333,right,left,TRUE,distracter_target,gaze
020816_01,1_test,1,test,right,straightahead,FALSE,4,96,0.04,0.96,0,1,0.333,right,left,TRUE,distracter_target,gaze
020816_01,10_exposure,10,exposure,face,left,FALSE,84,122,0.69,0.84,0.84,5,0.7,face,left,TRUE,face_target,gaze
020816_01,10_exposure,10,exposure,left,left,TRUE,32,122,0.26,0.84,0.84,5,0.7,face,left,TRUE,face_target,gaze
020816_01,10_exposure,10,exposure,right,left,FALSE,6,122,0.05,0.84,0.84,5,0.7,face,left,TRUE,face_target,gaze
020816_01,10_test,10,test,face,straightahead,FALSE,7,114,0.06,0.94,0,3,0.1,face,left,FALSE,face_distracter,gaze
020816_01,10_test,10,test,left,straightahead,FALSE,6,114,0.05,0.94,0,3,0.1,face,left,FALSE,face_distracter,gaze
020816_01,10_test,10,test,right,straightahead,TRUE,101,114,0.89,0.94,0,3,0.1,face,left,FALSE,face_distracter,gaze
020816_01,11_exposure,11,exposure,face,left,FALSE,70,109,0.64,1,1,4,0.267,face,left,TRUE,face_target,gaze
020816_01,11_exposure,11,exposure,left,left,TRUE,39,109,0.36,1,1,4,0.267,face,left,TRUE,face_target,gaze
020816_01,11_exposure,11,exposure,right,NA,NA,0,109,0,1,1,4,0.267,face,left,TRUE,face_target,gaze
020816_01,11_test,11,test,face,NA,NA,0,113,0,1,0,0,NA,left,NA,NA,no_shift,gaze
020816_01,11_test,11,test,left,straightahead,TRUE,113,113,1,1,0,0,NA,left,NA,NA,no_shift,gaze
020816_01,11_test,11,test,right,NA,NA,0,113,0,1,0,0,NA,left,NA,NA,no_shift,gaze
020816_01,12_exposure,12,exposure,face,right,FALSE,77,109,0.71,0.38,0.62,6,0.3,face,left,TRUE,face_target,gaze
020816_01,12_exposure,12,exposure,left,right,TRUE,12,109,0.11,0.38,0.62,6,0.3,face,left,TRUE,face_target,gaze
